id_venta,fecha,id_cliente,id_producto,id_empleado,cantidad,precio_unitario,descuento,medio_pago,canal
1,2024-10-27,1475,147,19,2,57244,10,Tarjeta de Débito,Sucursal
2,2024-11-22,220,110,3,1,114140,0,Tarjeta de Débito,Online
3,2022-01-24,1854,111,6,1,193216,15,Tarjeta de Débito,Online
4,2024-08-09,643,45,13,2,386157,0,Tarjeta de Débito,Sucursal
5,2025-11-14,686,126,10,1,9393,0,Tarjeta de Crédito,Online
6,2022-04-07,1605,118,17,2,97223,5,Tarjeta de Crédito,Sucursal
7,2022-01-20,1133,21,12,1,1402054,5,Tarjeta de Crédito,Sucursal
8,2025-02-04,1268,108,11,1,145800,10,Tarjeta de Crédito,Online
9,2025-08-13,32,79,20,1,49288,0,Tarjeta de Crédito,Sucursal
10,2026-04-13,90,106,13,1,144819,0,Tarjeta de Débito,Online
11,2023-07-14,1401,32,6,1,536121,0,Mercado Pago,Sucursal
12,2023-11-23,923,134,17,1,50607,5,Tarjeta de Crédito,Sucursal
13,2025-03-12,657,22,8,1,2124118,0,Tarjeta de Crédito,Sucursal
14,2021-08-12,1585,90,5,1,170021,0,Mercado Pago,Online
15,2025-06-27,516,37,16,1,299767,10,Tarjeta de Crédito,Online
16,2025-10-02,1549,67,19,1,112410,5,Tarjeta de Débito,Sucursal
17,2024-04-21,472,149,11,2,26143,10,Mercado Pago,Online
18,2021-09-03,89,62,8,1,25218,5,Transferencia,Sucursal
19,2026-04-28,540,111,17,1,193216,5,Mercado Pago,Sucursal
20,2024-03-27,963,43,18,1,334619,0,Tarjeta de Crédito,Online
21,2024-10-12,1586,134,12,1,50607,20,Tarjeta de Crédito,Sucursal
22,2024-06-25,406,99,13,2,98416,0,Tarjeta de Crédito,Sucursal
23,2022-01-26,1633,46,8,1,475964,10,Tarjeta de Crédito,Sucursal
24,2025-01-04,988,27,13,2,173598,0,Tarjeta de Débito,Sucursal
25,2022-04-17,678,14,15,1,1882522,0,Tarjeta de Débito,Sucursal
26,2023-12-08,979,121,1,1,132850,0,Tarjeta de Débito,Online
27,2024-03-19,756,117,12,1,54765,10,Tarjeta de Crédito,Online
28,2025-10-30,505,83,12,2,121405,0,Tarjeta de Crédito,Sucursal
29,2025-04-13,1623,132,18,3,6977,0,Tarjeta de Crédito,Sucursal
30,2024-05-29,1646,137,18,1,54978,10,Mercado Pago,Online
31,2024-05-16,53,62,14,2,25218,0,Tarjeta de Crédito,Online
32,2025-06-09,1641,118,3,1,97223,0,Mercado Pago,Sucursal
33,2023-07-14,1617,91,2,1,239013,0,Tarjeta de Crédito,Sucursal
34,2026-02-22,1769,45,12,1,386157,0,Tarjeta de Crédito,Online
35,2025-12-31,538,31,15,3,545983,0,Tarjeta de Débito,Sucursal
36,2025-01-29,1742,102,15,2,107722,0,Tarjeta de Débito,Sucursal
37,2025-03-17,1898,120,19,1,150413,0,Tarjeta de Crédito,Sucursal
38,2022-05-05,1380,45,8,1,386157,10,Tarjeta de Crédito,Sucursal
39,2022-10-17,1053,125,16,1,84124,5,Tarjeta de Crédito,Sucursal
40,2022-10-30,836,104,16,1,62368,10,Tarjeta de Débito,Online
41,2022-05-14,420,107,15,2,131515,0,Transferencia,Online
42,2023-12-26,399,88,10,1,140757,10,Efectivo,Online
43,2023-12-24,245,116,19,1,110824,10,Tarjeta de Crédito,Sucursal
44,2025-09-12,504,32,11,1,536121,5,Transferencia,Sucursal
45,2025-09-23,1570,114,7,2,67830,10,Efectivo,Sucursal
46,2024-04-08,132,138,14,1,5017,15,Tarjeta de Crédito,Online
47,2025-01-12,1127,2,7,1,2203549,0,Tarjeta de Crédito,Online
48,2024-05-13,60,47,11,1,286719,5,Mercado Pago,Sucursal
49,2021-07-27,120,55,9,1,91009,10,Tarjeta de Débito,Sucursal
50,2026-07-03,1284,143,20,1,32394,0,Mercado Pago,Sucursal
51,2021-09-06,257,95,16,1,47685,0,Mercado Pago,Sucursal
52,2024-08-03,963,146,15,1,5652,0,Tarjeta de Crédito,Online
53,2024-11-03,1135,23,4,1,1108646,15,Mercado Pago,Online
54,2025-10-02,1427,14,1,1,1882522,0,Tarjeta de Débito,Sucursal
55,2021-10-27,1632,114,6,1,67830,5,Mercado Pago,Online
56,2022-06-14,1959,61,1,2,59438,0,Mercado Pago,Sucursal
57,2025-03-09,112,32,17,2,536121,0,Tarjeta de Crédito,Sucursal
58,2026-02-21,1994,97,19,1,88456,0,Mercado Pago,Sucursal
59,2025-10-03,1308,36,20,1,435502,0,Tarjeta de Débito,Online
60,2026-03-26,1185,25,8,1,1187107,20,Tarjeta de Crédito,Sucursal
61,2022-10-02,1479,4,12,1,688511,30,Tarjeta de Crédito,Online
62,2024-07-23,766,5,16,1,942869,0,Tarjeta de Crédito,Sucursal
63,2021-08-02,1975,54,1,2,72197,10,Tarjeta de Débito,Sucursal
64,2023-04-09,1719,101,7,1,75638,10,Tarjeta de Débito,Sucursal
65,2023-11-20,39,112,12,1,70221,5,Transferencia,Sucursal
66,2025-03-20,1591,113,13,2,86956,0,Tarjeta de Débito,Online
67,2023-11-27,290,114,8,1,67830,0,Tarjeta de Crédito,Sucursal
68,2021-12-24,229,36,17,2,435502,10,Tarjeta de Crédito,Sucursal
69,2024-07-04,822,94,4,1,74574,0,Mercado Pago,Sucursal
70,2022-08-09,1075,115,15,1,89197,0,Tarjeta de Crédito,Online
71,2022-08-13,1958,121,17,3,132850,10,Mercado Pago,Online
72,2022-11-08,724,93,14,1,210413,5,Tarjeta de Crédito,Sucursal
73,2024-09-15,1522,134,6,2,50607,0,Tarjeta de Crédito,Sucursal
74,2025-10-24,1546,121,9,1,132850,0,Tarjeta de Débito,Online
75,2026-07-03,922,37,17,2,299767,10,Tarjeta de Débito,Sucursal
76,2021-12-03,1564,23,12,1,1108646,0,Tarjeta de Crédito,Sucursal
77,2022-03-02,1743,37,1,1,299767,10,Mercado Pago,Online
78,2021-08-28,448,31,18,1,545983,0,Tarjeta de Crédito,Sucursal
79,2024-01-05,1150,123,8,1,227727,15,Tarjeta de Débito,Online
80,2026-02-15,652,111,9,1,193216,10,Tarjeta de Crédito,Online
81,2022-04-04,817,1,5,1,1124829,0,Mercado Pago,Sucursal
82,2023-04-13,114,71,2,3,24970,5,Tarjeta de Débito,Sucursal
83,2023-03-06,22,58,2,2,34774,0,Tarjeta de Crédito,Online
84,2022-06-07,1826,69,8,2,76546,0,Tarjeta de Crédito,Sucursal
85,2025-03-09,942,63,10,1,90834,0,Transferencia,Sucursal
86,2022-07-29,1695,80,14,1,190014,5,Tarjeta de Crédito,Sucursal
87,2025-08-14,255,93,17,3,210413,0,Tarjeta de Crédito,Sucursal
88,2023-07-20,1882,130,12,1,53347,0,Tarjeta de Crédito,Sucursal
89,2023-05-11,369,66,8,2,109610,0,Efectivo,Sucursal
90,2024-07-17,1331,50,19,1,282282,0,Tarjeta de Crédito,Online
91,2022-06-29,86,32,13,3,536121,15,Tarjeta de Débito,Online
92,2022-11-03,1435,120,1,1,150413,0,Mercado Pago,Sucursal
93,2023-07-14,206,126,4,1,9393,0,Tarjeta de Débito,Sucursal
94,2023-11-24,194,140,8,1,10864,0,Tarjeta de Débito,Online
95,2024-07-06,1267,61,3,2,59438,20,Tarjeta de Crédito,Sucursal
96,2021-08-17,526,103,14,1,238351,15,Tarjeta de Crédito,Sucursal
97,2025-02-02,1352,123,3,2,227727,0,Tarjeta de Crédito,Sucursal
98,2025-07-09,819,53,6,1,53979,0,Transferencia,Sucursal
99,2025-03-25,1519,77,10,1,62822,20,Mercado Pago,Sucursal
100,2025-09-22,139,5,17,1,942869,0,Tarjeta de Débito,Online
